Level 1,20,
0,2,5,
0,1,10,
0,3,15,
0,2,20,
0,1,21,
0,2,21,
%Level 2,30,
0,2,5,
0,1,10,
0,3,15,
0,2,20,
0,1,21,
0,2,21,
%Level 3,30,
0,2,5,
0,1,10,
0,3,15,
0,2,20,
0,1,21,
0,2,21,
%Level 4,20,
0,2,5,
%Level 5,100,
0,2,5,
0,1,10,
0,3,15,
0,2,20,
0,1,21,
0,2,21,
%Level 6,100,
0,2,5,
0,1,10,
0,3,15,
0,2,20,
0,1,21,
0,2,21,
%Level 7,100,
0,2,5,
0,1,10,
0,3,15,
0,2,20,
0,1,21,
0,2,21,
%Level 8,100,
0,2,5,
0,1,10,
0,3,15,
0,2,20,
0,1,21,
0,2,21,
%Level 9,100,
0,2,5,
0,1,10,
0,3,15,
0,2,20,
0,1,21,
0,2,21,
%Level 10,100,
0,2,5,
0,1,10,
0,3,15,
0,2,20,
0,1,21,
0,2,21,
